uniqueid,기준분기,상권구분,상권지역,서비스업종,분기매출,분기당매출건수,주중매출금액,주말매출금액
YH129,4분기,관광특구,명동 남대문 북창동 다동 무교동 관광특구,시계및귀금속,16332953988,77525,12451241719,3881712269
YH130,4분기,관광특구,명동 남대문 북창동 다동 무교동 관광특구,가구,17579569,91,17579569,0
YH131,4분기,골목상권,면목동우체국,가전제품,29437639,721,24374291,5063348
YH132,4분기,골목상권,암사역 2번(서울강동초등학교),시계및귀금속,369414,14,369414,0
YH133,4분기,골목상권,금천금빛공원(은행나무사거리서측),가구,25498891,133,23414634,2084257
YH134,4분기,골목상권,창2동주민센터,시계및귀금속,7354153,18,5046968,2307185
YH135,4분기,골목상권,염곡동 구룡사(포이동성당),가구,73000000,35,73000000,0
YH136,4분기,골목상권,서강대역 1번,가전제품,289859,9,0,289859
YH137,4분기,골목상권,포이초등학교(개포목련어린이공원),가구,378514001,6730,127142567,251371434
YH138,4분기,골목상권,문성초등학교,가구,155465012,397,102742733,52722279
YH139,4분기,골목상권,하나고등학교,가구,2000000,28,1729730,270270
YH140,4분기,골목상권,인수동 우편취급국,가구,104761584,256,66504158,38257426
YH141,4분기,골목상권,수락산역 4번,시계및귀금속,87187,9,0,87187
YH142,4분기,골목상권,양지어린이공원,시계및귀금속,21143296,125,20169957,973339
YH143,4분기,골목상권,방학초등학교,시계및귀금속,46076760,330,45017380,1059380
YH144,4분기,골목상권,경춘선숲길 우측,시계및귀금속,3762802,70,3762802,0
YH145,4분기,골목상권,포이초등학교(개포목련어린이공원),가전제품,202607899,861,202607899,0
YH146,4분기,골목상권,중화역 4번,시계및귀금속,9210426,54,2524140,6686286
YH147,4분기,골목상권,먹골역 1번,가구,246844782,329,140375295,106469487
YH148,4분기,골목상권,구산역 1번,가구,169288173,248,118852728,50435445
YH149,4분기,골목상권,숭곡초등학교,시계및귀금속,53832632,52,53283157,549475
YH150,4분기,골목상권,인헌고등학교(인헌중학교),시계및귀금속,39455642,350,32601844,6853798
YH151,4분기,골목상권,장안중학교,시계및귀금속,42530466,97,27897116,14633350
YH152,4분기,골목상권,새절역 2번,시계및귀금속,10124007,30,10124007,0
YH153,4분기,골목상권,삼양입구사거리,가구,1729858,6,1729858,0
YH154,4분기,골목상권,도봉구보건소,시계및귀금속,83105026,655,81314532,1790494
YH155,4분기,골목상권,수유시장옆,시계및귀금속,3845488,36,3845488,0
YH156,4분기,골목상권,수송초등학교,가구,2561654,21,2561654,0
YH157,4분기,골목상권,상계역,시계및귀금속,553846,38,553846,0
YH158,4분기,골목상권,구산보건지소,시계및귀금속,573099,164,573099,0
YH159,4분기,골목상권,러스크서울병원,시계및귀금속,16550940,60,11569749,4981191
YH160,4분기,골목상권,중랑역 1번,가구,625933,28,625933,0
YH161,4분기,골목상권,망우본동주민센터,시계및귀금속,31004447,190,30549459,454988
YH162,4분기,골목상권,종암동주민센터,시계및귀금속,93851563,1059,55414063,38437500
YH163,4분기,골목상권,건대입구역 6번,시계및귀금속,15858542,116,15858542,0
YH164,4분기,골목상권,등촌3동주민센터,시계및귀금속,21148540,348,18704022,2444518
YH165,4분기,골목상권,응암정보도서관,가전제품,765683,23,765683,0
YH166,4분기,골목상권,경신고등학교,시계및귀금속,22461341,170,6854606,15606735
YH167,4분기,골목상권,홍릉시장,가전제품,2282727273,3182,2075909091,206818182
YH168,4분기,골목상권,염창역 2번,가전제품,40724,14,20362,20362
YH169,4분기,골목상권,장안1동주민센터,가전제품,189667944,631,164752347,24915597
YH170,4분기,골목상권,양천향교역 5번,가구,1071073629,1335,1071073629,0
YH171,4분기,골목상권,뜸부기어린이공원,시계및귀금속,72166,8,72166,0
YH172,4분기,골목상권,해방촌예술마을,가전제품,50449379,459,48845051,1604328
YH173,4분기,골목상권,동묘앞역 2번,시계및귀금속,10024822,28,10024822,0
YH174,4분기,골목상권,해오름공원,가구,58923803,474,40460660,18463143
YH175,4분기,골목상권,연희임광아파트,가구,138835979,116,0,138835979
YH176,4분기,골목상권,논현2동주민센터,가전제품,5062587,6,0,5062587
YH177,4분기,골목상권,방화역 3번,시계및귀금속,39982072,714,38248824,1733248
YH178,4분기,골목상권,명지대학교교회,시계및귀금속,148352,15,0,148352
YH179,4분기,골목상권,태릉시장 특화거리,가전제품,45031660,292,35183095,9848565
YH180,4분기,골목상권,청담초등학교,시계및귀금속,3016993308,3037,1675597792,1341395516
YH181,4분기,골목상권,마천역(마천초등학교),시계및귀금속,75480164,385,35554838,39925326
YH182,4분기,골목상권,장훈고등학교,가구,8975715,102,8975715,0
YH183,4분기,골목상권,대청초등학교,시계및귀금속,138158488,277,133289889,4868599
YH184,4분기,골목상권,대림성모병원,시계및귀금속,7458209,113,7032836,425373
YH185,4분기,골목상권,성수119안전센터,시계및귀금속,9961064,20,9927463,33601
YH186,4분기,골목상권,삼성중앙역 7번,시계및귀금속,5000000,11,5000000,0
YH187,4분기,골목상권,남영역 1번,가전제품,199744817,99,199744817,0
YH188,4분기,골목상권,오류2동버들시장,시계및귀금속,26980085,82,26850946,129139
YH189,4분기,골목상권,목동보건지소,시계및귀금속,7914926,211,6810518,1104408
YH190,4분기,골목상권,아현역 2번,시계및귀금속,1926339,45,1808504,117835
YH191,4분기,골목상권,자양4동주민센터,시계및귀금속,12000000,8,12000000,0
YH192,4분기,골목상권,성수동카페거리,가전제품,7012923,151,7012923,0
YH193,4분기,골목상권,독산동정훈단지,가구,10971389,30,10971389,0
YH194,4분기,골목상권,신정역 5번,시계및귀금속,12340624,56,12340624,0
YH195,4분기,골목상권,강동역 4번(강풀만화거리),가전제품,28429038,93,28429038,0
YH196,4분기,골목상권,금산초등학교(금천고등학교),시계및귀금속,31355482,80,29295681,2059801
YH197,4분기,골목상권,성자초등학교,가구,17331640,76,15746009,1585631
YH198,4분기,골목상권,남구로역 3번,가구,205745160,473,142773526,62971634
YH199,4분기,골목상권,구반포역,시계및귀금속,395785980,2013,395785980,0
YH200,4분기,골목상권,중앙고등학교,시계및귀금속,424063285,6327,222450247,201613038
YH201,4분기,골목상권,NH농협은행 상도동지점,시계및귀금속,46620811,221,38835097,7785714
YH202,4분기,골목상권,영등포역 2번,부동산중개업,14130841,1794,10093458,4037383
YH203,4분기,발달상권,독산동,가구,535147679,98,535147679,0
YH204,4분기,골목상권,도봉역 2번,가전제품,51000001,771,48171430,2828571
YH205,4분기,발달상권,양재화물트럭터미널앞,가전제품,557376338,93,557376338,0
YH206,4분기,골목상권,방배아이파크아파트,가구,1228824787,2443,771254034,457570753
YH207,4분기,골목상권,구로디지털단지역 4번,가구,32090444,116,28033032,4057412
YH208,4분기,골목상권,자양한강도서관,시계및귀금속,22244995,74,15057197,7187798
YH209,4분기,골목상권,삼전역 4번,시계및귀금속,2818266,65,2560890,257376
YH210,4분기,골목상권,이수역 10번,가구,1185824176,272,1185824176,0
YH211,4분기,발달상권,연희동,시계및귀금속,14789775,65,11555301,3234474
